Screen ID,Screen Name,Module,BRD,Route,Viewport,Frame Marking,Render File,Native Figma Status
GIN-UI-001,"Secure Login, SSO and MFA",Access and Identity,F01,/ginfina/login,WEB,"GIN-UI-001 | Secure Login, SSO and MFA | WEB | R1.0 D0.1 | GX1 | Mantine",02_Renders/Web_1440x900/GIN-UI-001.png,Native editable frame created in connected Figma file
GIN-UI-001,"Secure Login, SSO and MFA",Access and Identity,F01,/ginfina/login,TABLET,"GIN-UI-001 | Secure Login, SSO and MFA | TABLET | R1.0 D0.1 | GX1 | Mantine",02_Renders/Tablet_1024x768/GIN-UI-001.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-001,"Secure Login, SSO and MFA",Access and Identity,F01,/ginfina/login,MOBILE,"GIN-UI-001 | Secure Login, SSO and MFA | MOBILE | R1.0 D0.1 | GX1 | Mantine",02_Renders/Mobile_390x844/GIN-UI-001.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-002,Consultant Profile and Engineering Readiness,Access and Identity,"F03, F04",/ginfina/consultants/:consultantId/readiness,WEB,GIN-UI-002 | Consultant Profile and Engineering Readiness | WEB | R1.0 D0.1 | GX1 | Mantine,02_Renders/Web_1440x900/GIN-UI-002.png,Native editable frame created in connected Figma file
GIN-UI-002,Consultant Profile and Engineering Readiness,Access and Identity,"F03, F04",/ginfina/consultants/:consultantId/readiness,TABLET,GIN-UI-002 | Consultant Profile and Engineering Readiness | TABLET | R1.0 D0.1 | GX1 | Mantine,02_Renders/Tablet_1024x768/GIN-UI-002.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-002,Consultant Profile and Engineering Readiness,Access and Identity,"F03, F04",/ginfina/consultants/:consultantId/readiness,MOBILE,GIN-UI-002 | Consultant Profile and Engineering Readiness | MOBILE | R1.0 D0.1 | GX1 | Mantine,02_Renders/Mobile_390x844/GIN-UI-002.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-003,Engineering Workbench Home,Home and Work,F38,/ginfina/workbench,WEB,GIN-UI-003 | Engineering Workbench Home | WEB | R1.0 D0.1 | GX1 | Mantine,02_Renders/Web_1440x900/GIN-UI-003.png,Native editable frame created in connected Figma file
GIN-UI-003,Engineering Workbench Home,Home and Work,F38,/ginfina/workbench,TABLET,GIN-UI-003 | Engineering Workbench Home | TABLET | R1.0 D0.1 | GX1 | Mantine,02_Renders/Tablet_1024x768/GIN-UI-003.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-003,Engineering Workbench Home,Home and Work,F38,/ginfina/workbench,MOBILE,GIN-UI-003 | Engineering Workbench Home | MOBILE | R1.0 D0.1 | GX1 | Mantine,02_Renders/Mobile_390x844/GIN-UI-003.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-004,"My Work, Reviews and Approvals",Home and Work,F38,/ginfina/my-work,WEB,"GIN-UI-004 | My Work, Reviews and Approvals | WEB | R1.0 D0.1 | GX1 | Mantine",02_Renders/Web_1440x900/GIN-UI-004.png,Native editable frame created in connected Figma file
GIN-UI-004,"My Work, Reviews and Approvals",Home and Work,F38,/ginfina/my-work,TABLET,"GIN-UI-004 | My Work, Reviews and Approvals | TABLET | R1.0 D0.1 | GX1 | Mantine",02_Renders/Tablet_1024x768/GIN-UI-004.png,Visual/source available in download pack; native frame pending MCP continuation
GIN-UI-004,"My Work, Reviews and Approvals",Home and Work,F38,/ginfina/my-work,MOBILE,"GIN-UI-004 | My Work, Reviews and Approvals | MOBILE | R1.0 D0.1 | GX1 | Mantine",02_Renders/Mobile_390x844/GIN-UI-004.png,Visual/source available in download pack; native frame pending MCP continuation
